,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,1,1,1,1,1,1,1,1,1,1,3,4,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,13,13,14,14,14,14,15,15,15,15,15,15,16,19,19,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,24,28,29,32
1,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,11,11,11,11,11,12,13,13,13,13,14,14,14,14,14,15,15,15,15,16,17,17,17,17,17,18,19,20,21,21,21,21,21,21,22,22,23,24,24,24,24,24,24,26,26,26,26,26,27,29,31,31,31,31,32,32,32,32,32,32,33,33,34,34,34,34
2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,9,11,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,15,17,19,21,22,23,24,25,25,25,25,25,25,25,26,26,26,26,27,27,27,27,27,27,27,29,30,30,30,30,30,31,31,31,31,32,33,37,37,37,37,37,37,37,38,40,41,41,42,43,44,44,44,44,44,44,45,45,45,46,46,46
3,7,7,8,9,10,12,12,12,12,12,12,12,12,12,12,13,15,17,17,17,18,19,19,19,19,19,19,21,21,21,21,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,25,27,27,27,27,27,28,30,31,32,32,32,32,32,32,32,32,32,33,34,34,34,34,36,37,38,39,40,41,42,42,42,42,43,48,49,49,49,49,49,49,49,49,49,49,49,50,52,53,53
4,4,4,4,4,4,5,6,9,9,9,9,9,11,11,11,11,11,11,11,12,12,12,12,12,12,13,15,15,16,18,19,19,20,21,22,23,24,24,24,24,24,24,24,24,24,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,30,30,30,30,30,31,32,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35
5,5,5,7,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,15,16,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,20,23,23,23,23,23,23,24,29,31,33,33,33,33,33,33,34,36,38,38,38,38,38,38,39,40,40,41,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,44,44,45,46,48
6,1,1,1,1,1,1,1,1,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,11,12,12,12,12,12,12,12,12,12,14,18,18,18,18,19,19,19,20,20,20,20,20,20,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,28,29,29,30,30,31,31,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33
7,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,8,10,12,13,16,17,18,18,18,18,18,18,18,19,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,26,28,29,30,31,33,34,37,38,39,42,43,44,45,46,46,46,46,46,46,47,48,48,48,48,48,48,48,48,48,48,48,49,51,51
8,6,6,6,6,6,6,6,7,9,12,12,12,12,12,12,12,12,13,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23
9,4,4,4,4,4,4,4,4,5,7,11,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,18,19,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,26,27,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,30,31,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,37,39
